event_id,team_id,team,ha,opponent,opp_id,team_score,opp_score,team_pen,team_pen_yds,opp_pen,opp_pen_yds,margin,one_score,line_details,spread,over_under,our_ml,opp_ml
401520156,194,Ohio State,away,IU,84,23,3,5,41,8,75,20,False,OSU -27.5,27.5,59.5,-8889,2000
401520162,130,Michigan,home,ECU,151,30,3,5,35,10,88,27,False,MICH -34.5,-34.5,52.0,-10000,2000
401520169,213,Penn State,home,WVU,277,38,15,1,5,5,55,23,False,PSU -20.5,-20.5,53.5,-1385,814
401520202,130,Michigan,home,UNLV,2439,35,7,4,30,3,35,28,False,,,,,
401520208,194,Ohio State,home,YSU,2754,35,7,6,65,9,76,28,False,,,,,
401520209,213,Penn State,home,DEL,48,63,7,7,55,5,33,56,False,,,,,
401520226,213,Penn State,away,ILL,356,30,13,7,70,6,47,17,False,,,,,
401520232,130,Michigan,home,BGSU,189,31,6,1,10,2,15,25,False,,,,,
401520240,194,Ohio State,home,WKU,98,63,10,5,40,3,24,53,False,,,,,
401520260,130,Michigan,home,RUTG,164,31,7,3,18,5,30,24,False,,,,,
401520265,213,Penn State,home,IOWA,2294,31,0,4,45,4,28,31,False,,,,,
401520286,130,Michigan,away,NEB,158,45,7,0,0,4,30,38,False,,,,,
401520287,213,Penn State,away,NU,77,41,13,6,45,4,18,28,False,,,,,
401520303,130,Michigan,away,MINN,135,52,10,1,10,4,36,42,False,,,,,
401520307,194,Ohio State,home,MD,120,37,17,10,81,4,50,20,False,,,,,
401520321,130,Michigan,home,IU,84,52,7,2,20,5,47,45,False,,,,,
401520322,213,Penn State,home,MASS,113,63,0,6,60,9,81,63,False,,,,,
401520323,194,Ohio State,away,PUR,2509,41,7,9,51,5,41,34,False,,,,,
401520340,130,Michigan,away,MSU,127,49,0,7,75,11,102,49,False,,,,,
401520343,194,Ohio State,home,PSU,213,20,12,6,54,5,32,8,True,,,,,
401520343,213,Penn State,away,OSU,194,12,20,5,32,6,54,-8,True,,,,,
401520358,213,Penn State,home,IU,84,33,24,6,60,5,35,9,False,,,,,
401520360,194,Ohio State,away,WIS,275,24,10,6,25,5,26,14,False,,,,,
401520367,213,Penn State,away,MD,120,51,15,7,76,4,45,36,False,,,,,
401520368,130,Michigan,home,PUR,2509,41,13,1,10,5,58,28,False,,,,,
401520375,194,Ohio State,away,RUTG,164,35,16,5,57,3,30,19,False,,,,,
401520393,194,Ohio State,home,MSU,127,38,3,3,25,5,36,35,False,,,,,
401520394,213,Penn State,home,MICH,130,15,24,5,33,6,50,-9,False,,,,,
401520394,130,Michigan,away,PSU,213,24,15,6,50,5,33,9,False,,,,,
401520410,130,Michigan,away,MD,120,31,24,2,25,6,35,7,True,,,,,
401520415,194,Ohio State,home,MINN,135,37,3,5,43,1,15,34,False,,,,,
401520417,213,Penn State,home,RUTG,164,27,6,1,2,6,48,21,False,,,,,
401520434,130,Michigan,home,OSU,194,30,24,3,34,1,5,6,True,,,,,
401520434,194,Ohio State,away,MICH,130,24,30,1,5,3,34,-6,True,,,,,
401520435,213,Penn State,away,MSU,127,42,0,4,30,6,30,42,False,,,,,
401521330,87,Notre Dame,home,OSU,194,14,17,4,50,5,35,-3,True,,,,240,-305
401521330,194,Ohio State,away,ND,87,17,14,5,35,4,50,3,True,,,,-305,240
401539480,130,Michigan,away,IOWA,2294,26,0,3,25,7,46,26,False,,,,,
401628347,130,Michigan,home,TEX,251,12,31,4,30,7,45,-19,False,,,,,
401628452,130,Michigan,home,FRES,278,30,10,5,70,3,19,20,False,,,,,
401628455,194,Ohio State,home,AKR,2006,52,6,7,45,5,35,46,False,,,,,
401628457,213,Penn State,away,WVU,277,34,12,8,60,1,5,22,False,,,,,
401628468,194,Ohio State,home,WMU,2711,56,0,6,58,1,2,56,False,,,,,
401628470,213,Penn State,home,BGSU,189,34,27,7,76,3,18,7,True,,,,,
401628479,130,Michigan,home,ARST,2032,28,18,7,69,3,25,10,False,,,,,
401628489,130,Michigan,home,USC,30,27,24,3,25,6,32,3,True,,,,,
401628492,194,Ohio State,home,MRSH,276,49,14,5,54,8,52,35,False,,,,,
401628493,213,Penn State,home,KENT,2309,56,0,7,65,2,20,56,False,,,,,
401628495,213,Penn State,home,ILL,356,21,7,6,63,9,60,14,False,,,,,
401628497,130,Michigan,home,MINN,135,27,24,5,54,7,51,3,True,,,,,
401628498,194,Ohio State,away,MSU,127,38,7,4,40,2,19,31,False,,,,,
401628504,194,Ohio State,home,IOWA,2294,35,7,1,10,1,5,28,False,,,,,
401628505,130,Michigan,away,WASH,264,17,27,5,40,2,20,-10,False,,,,,
401628510,213,Penn State,home,UCLA,26,27,11,2,20,5,45,16,False,,,,,
401628515,194,Ohio State,away,ORE,2483,31,32,8,70,3,25,-1,True,,,,,
401628516,213,Penn State,away,USC,30,33,30,3,25,5,60,3,True,,,,,
401628518,130,Michigan,away,ILL,356,7,21,6,61,6,50,-14,False,,,,,
