event_id,season,team,ha,margin,one_score,our_score,opp_score,off3conv,off3att,def3conv,def3att,sacks_taken,sacks_forced,spread,line_details,comp_att
401520156,2023,Ohio State,away,20,False,23,3,2,12,4,15,0,1,27.5,OSU -27.5,21/36
401520162,2023,Michigan,home,27,False,30,3,6,10,5,13,0,0,-34.5,MICH -34.5,26/31
401520169,2023,Penn State,home,23,False,38,15,3,9,4,14,0,0,-20.5,PSU -20.5,22/30
401520202,2023,Michigan,home,28,False,35,7,7,12,3,12,0,5,,,23/28
401520208,2023,Ohio State,home,28,False,35,7,5,12,7,15,2,1,,,21/33
401520209,2023,Penn State,home,56,False,63,7,8,14,2,11,0,4,,,25/31
401520226,2023,Penn State,away,17,False,30,13,7,18,5,16,1,3,,,17/37
401520232,2023,Michigan,home,25,False,31,6,1,5,5,15,1,3,,,8/13
401520240,2023,Ohio State,home,53,False,63,10,5,10,3,15,1,2,,,22/27
401520260,2023,Michigan,home,24,False,31,7,8,13,3,10,2,0,,,15/21
401520265,2023,Penn State,home,31,False,31,0,9,20,1,9,0,3,,,26/40
401520286,2023,Michigan,away,38,False,45,7,8,13,3,10,0,4,,,16/23
401520287,2023,Penn State,away,28,False,41,13,8,17,5,16,1,7,,,19/34
401520303,2023,Michigan,away,42,False,52,10,5,10,3,14,0,2,,,16/23
401520307,2023,Ohio State,home,20,False,37,17,3,12,8,19,2,1,,,19/29
401520321,2023,Michigan,home,45,False,52,7,6,11,6,15,4,4,,,19/22
401520322,2023,Penn State,home,63,False,63,0,7,9,5,18,1,7,,,16/23
401520323,2023,Ohio State,away,34,False,41,7,8,13,3,17,2,3,,,17/30
401520340,2023,Michigan,away,49,False,49,0,7,11,6,16,1,2,,,28/35
401520343,2023,Ohio State,home,8,True,20,12,6,16,1,16,2,3,,,22/35
401520358,2023,Penn State,home,9,False,33,24,7,18,3,11,2,2,,,20/31
401520360,2023,Ohio State,away,14,False,24,10,6,13,6,16,2,2,,,17/26
401520367,2023,Penn State,away,36,False,51,15,7,15,4,12,1,5,,,26/39
401520368,2023,Michigan,home,28,False,41,13,7,14,1,14,3,1,,,24/37
401520375,2023,Ohio State,away,19,False,35,16,6,12,4,13,1,1,,,19/26
401520393,2023,Ohio State,home,35,False,38,3,5,11,2,14,0,2,,,26/34
401520394,2023,Michigan,away,9,False,24,15,6,13,4,14,1,0,,,7/8
401520410,2023,Michigan,away,7,True,31,24,4,13,5,12,1,3,,,12/23
401520415,2023,Ohio State,home,34,False,37,3,10,16,3,12,1,2,,,22/32
401520417,2023,Penn State,home,21,False,27,6,4,9,4,13,0,3,,,7/14
401520434,2023,Michigan,home,6,True,30,24,3,12,4,9,1,1,,,17/21
401520435,2023,Penn State,away,42,False,42,0,4,11,2,13,2,6,,,19/28
